date,predicted_volume,total_traffic_volume,is_weekend,revenue_base,revenue_weekend_elastic,year
02-10-2012,67322.335,63289,0,242360.406,242360.406,2012
03-10-2012,66955.885,66345,0,241041.186,241041.186,2012
04-10-2012,79068.79,89939,0,284647.644,284647.644,2012
05-10-2012,90113.52,93336,0,324408.672,324408.672,2012
06-10-2012,71470.52,74910,1,257293.872,296402.5405,2012
07-10-2012,63278.395,67290,1,227802.222,262428.1597,2012
08-10-2012,79907.44,82135,0,287666.784,287666.784,2012
09-10-2012,83269.69,86717,0,299770.884,299770.884,2012
10-10-2012,111107.5,98252,0,399987,399987,2012
11-10-2012,75920.865,74325,0,273315.114,273315.114,2012
12-10-2012,79982.65,80516,0,287937.54,287937.54,2012
13-10-2012,66572.395,70500,1,239660.622,276089.0365,2012
14-10-2012,92771.095,105532,1,333975.942,384740.2852,2012
15-10-2012,87539.375,89400,0,315141.75,315141.75,2012
16-10-2012,87704.1,89471,0,315734.76,315734.76,2012
17-10-2012,85597.725,91414,0,308151.81,308151.81,2012
18-10-2012,101566.105,88380,0,365637.978,365637.978,2012
19-10-2012,121238.2,133146,0,436457.52,436457.52,2012
20-10-2012,107130.59,131124,1,385670.124,444291.9828,2012
21-10-2012,49796.575,16800,1,179267.67,206516.3558,2012
22-10-2012,71345.905,64530,0,256845.258,256845.258,2012
23-10-2012,83945.02,84902,0,302202.072,302202.072,2012
24-10-2012,164873,196654,0,593542.8,593542.8,2012
25-10-2012,155362.485,188892,0,559304.946,559304.946,2012
26-10-2012,166187.585,189583,0,598275.306,598275.306,2012
27-10-2012,71436.38,73567,1,257170.968,296260.9551,2012
28-10-2012,58762.26,56486,1,211544.136,243698.8447,2012
29-10-2012,84256.45,84458,0,303323.22,303323.22,2012
30-10-2012,84485.895,88196,0,304149.222,304149.222,2012
31-10-2012,74229.59,86737,0,267226.524,267226.524,2012
01-11-2012,79592.065,90283,0,286531.434,286531.434,2012
02-11-2012,88313.86,91305,0,317929.896,317929.896,2012
03-11-2012,62673.585,67443,1,225624.906,259919.8917,2012
04-11-2012,73149.09,58234,1,263336.724,303363.906,2012
05-11-2012,78972.67,77167,0,284301.612,284301.612,2012
06-11-2012,106028.7,98248,0,381703.32,381703.32,2012
07-11-2012,142968.22,152875,0,514685.592,514685.592,2012
08-11-2012,104924.835,90705,0,377729.406,377729.406,2012
09-11-2012,85576.095,93127,0,308073.942,308073.942,2012
10-11-2012,59220.81,67384,1,213194.916,245600.5432,2012
11-11-2012,96592.275,101193,1,347732.19,400587.4829,2012
12-11-2012,78630.76,74086,0,283070.736,283070.736,2012
13-11-2012,87852.015,93197,0,316267.254,316267.254,2012
14-11-2012,83842.64,95604,0,301833.504,301833.504,2012
15-11-2012,85927.59,88701,0,309339.324,309339.324,2012
16-11-2012,89868.725,90657,0,323527.41,323527.41,2012
17-11-2012,60045.63,63916,1,216164.268,249021.2367,2012
18-11-2012,55540.6,55934,1,199946.16,230337.9763,2012
19-11-2012,77766.11,84382,0,279957.996,279957.996,2012
20-11-2012,86100.85,89479,0,309963.06,309963.06,2012
21-11-2012,104654.935,124163,0,376757.766,376757.766,2012
22-11-2012,56082.41,47386,0,201896.676,201896.676,2012
23-11-2012,84398.24,85336,0,303833.664,303833.664,2012
24-11-2012,66428.325,53954,1,239141.97,275491.5494,2012
25-11-2012,52860.945,54139,1,190299.402,219224.9111,2012
26-11-2012,75105.595,76540,0,270380.142,270380.142,2012
27-11-2012,79777.725,85147,0,287199.81,287199.81,2012
28-11-2012,80426.285,85818,0,289534.626,289534.626,2012
29-11-2012,88668.855,87058,0,319207.878,319207.878,2012
30-11-2012,82558.13,87308,0,297209.268,297209.268,2012
01-12-2012,111216.435,121619,1,400379.166,461236.7992,2012
02-12-2012,70443.52,75663,1,253596.672,292143.3661,2012
03-12-2012,103830.7,115016,0,373790.52,373790.52,2012
04-12-2012,94049.84,103001,0,338579.424,338579.424,2012
05-12-2012,84303.565,87489,0,303492.834,303492.834,2012
06-12-2012,92113.305,90901,0,331607.898,331607.898,2012
07-12-2012,89218.605,89706,0,321186.978,321186.978,2012
08-12-2012,79058.35,79458,1,284610.06,327870.7891,2012
09-12-2012,39551.475,29008,1,142385.31,164027.8771,2012
10-12-2012,148373.705,195340,0,534145.338,534145.338,2012
11-12-2012,81551.96,79143,0,293587.056,293587.056,2012
12-12-2012,90456.74,94193,0,325644.264,325644.264,2012
13-12-2012,85394.3,87392,0,307419.48,307419.48,2012
14-12-2012,90915.395,97124,0,327295.422,327295.422,2012
15-12-2012,61399.13,63738,1,221036.868,254634.4719,2012
16-12-2012,144459.32,180334,1,520053.552,599101.6919,2012
17-12-2012,99962.76,83970,0,359865.936,359865.936,2012
18-12-2012,135920.13,144722,0,489312.468,489312.468,2012
19-12-2012,139692.73,154038,0,502893.828,502893.828,2012
20-12-2012,82254.7,98935,0,296116.92,296116.92,2012
21-12-2012,106201.91,127626,0,382326.876,382326.876,2012
22-12-2012,56962.25,61985,1,205064.1,236233.8432,2012
23-12-2012,49525.305,49031,1,178291.098,205391.3449,2012
24-12-2012,65750.25,54436,0,236700.9,236700.9,2012
25-12-2012,52530.895,40082,0,189111.222,189111.222,2012
26-12-2012,76500.735,70787,0,275402.646,275402.646,2012
27-12-2012,71062.13,75138,0,255823.668,255823.668,2012
28-12-2012,98235.1,102880,0,353646.36,353646.36,2012
29-12-2012,84691.185,96681,1,304888.266,351231.2824,2012
30-12-2012,62676.015,66016,1,225633.654,259929.9694,2012
31-12-2012,71368.945,75720,0,256928.202,256928.202,2012
01-01-2013,55017.855,39817,0,198064.278,198064.278,2013
02-01-2013,86952.825,90601,0,313030.17,313030.17,2013
03-01-2013,127179.13,148677,0,457844.868,457844.868,2013
04-01-2013,98677.61,105487,0,355239.396,355239.396,2013
05-01-2013,55628.735,55251,1,200263.446,230703.4898,2013
06-01-2013,54866.775,58381,1,197520.39,227543.4893,2013
07-01-2013,78153.56,80652,0,281352.816,281352.816,2013
08-01-2013,75026.115,74018,0,270094.014,270094.014,2013
09-01-2013,79692.725,74978,0,286893.81,286893.81,2013
10-01-2013,48444.21,24944,0,174399.156,174399.156,2013
11-01-2013,102138.78,109877,0,367699.608,367699.608,2013
12-01-2013,138148.645,140880,1,497335.122,572930.0605,2013
13-01-2013,38442.16,38604,1,138391.776,159427.326,2013
14-01-2013,102245.865,110040,0,368085.114,368085.114,2013
15-01-2013,71784.59,73719,0,258424.524,258424.524,2013
16-01-2013,74822.15,84035,0,269359.74,269359.74,2013
17-01-2013,86215.12,99157,0,310374.432,310374.432,2013
18-01-2013,80803.245,87969,0,290891.682,290891.682,2013
19-01-2013,59317.955,66082,1,213544.638,246003.423,2013
20-01-2013,43938.805,39631,1,158179.698,182223.0121,2013
21-01-2013,70040.195,57331,0,252144.702,252144.702,2013
22-01-2013,67119.735,65215,0,241631.046,241631.046,2013
23-01-2013,75689.53,83333,0,272482.308,272482.308,2013
24-01-2013,81713.795,82285,0,294169.662,294169.662,2013
25-01-2013,69807.115,65526,0,251305.614,251305.614,2013
26-01-2013,28698.965,16041,1,103316.274,119020.3476,2013
27-01-2013,35960.435,28477,1,129457.566,149135.116,2013
28-01-2013,73864.245,60492,0,265911.282,265911.282,2013
29-01-2013,30501.99,434,0,109807.164,109807.164,2013
30-01-2013,92485.235,90004,0,332946.846,332946.846,2013
31-01-2013,81083.15,74542,0,291899.34,291899.34,2013
01-02-2013,79508.695,85403,0,286231.302,286231.302,2013
02-02-2013,61007.855,67192,1,219628.278,253011.7763,2013
03-02-2013,52152.41,49492,1,187748.676,216286.4748,2013
04-02-2013,79741.855,79753,0,287070.678,287070.678,2013
05-02-2013,75115.585,76026,0,270416.106,270416.106,2013
06-02-2013,72646.24,64135,0,261526.464,261526.464,2013
07-02-2013,73788.075,67814,0,265637.07,265637.07,2013
08-02-2013,95666.745,100338,0,344400.282,344400.282,2013
09-02-2013,59578.85,58724,1,214483.86,247085.4067,2013
10-02-2013,54985.54,34176,1,197947.944,228036.0315,2013
11-02-2013,149404,184535,0,537854.4,537854.4,2013
12-02-2013,87373.1,81913,0,314543.16,314543.16,2013
13-02-2013,73678.85,70715,0,265243.86,265243.86,2013
14-02-2013,111032.835,126711,0,399718.206,399718.206,2013
15-02-2013,78613.285,78901,0,283007.826,283007.826,2013
16-02-2013,64482.5,67101,1,232137,267421.824,2013
17-02-2013,61480.275,67234,1,221328.99,254970.9965,2013
18-02-2013,81757.795,74809,0,294328.062,294328.062,2013
19-02-2013,81567.675,74957,0,293643.63,293643.63,2013
20-02-2013,65631.44,56808,0,236273.184,236273.184,2013
21-02-2013,79647.625,79255,0,286731.45,286731.45,2013
22-02-2013,77904.175,73732,0,280455.03,280455.03,2013
23-02-2013,79796.81,90107,1,287268.516,330933.3304,2013
24-02-2013,60764.235,60534,1,218751.246,252001.4354,2013
25-02-2013,90986.02,96105,0,327549.672,327549.672,2013
26-02-2013,93796.27,103904,0,337666.572,337666.572,2013
27-02-2013,112933.945,130942,0,406562.202,406562.202,2013
28-02-2013,72748.71,66710,0,261895.356,261895.356,2013
01-03-2013,84280.68,90698,0,303410.448,303410.448,2013
02-03-2013,65587.29,69385,1,236114.244,272003.6091,2013
03-03-2013,58686.205,56799,1,211270.338,243383.4294,2013
04-03-2013,70103.55,61653,0,252372.78,252372.78,2013
05-03-2013,77407.11,67892,0,278665.596,278665.596,2013
06-03-2013,73356.99,78973,0,264085.164,264085.164,2013
07-03-2013,65979.695,55751,0,237526.902,237526.902,2013
08-03-2013,82485.54,98409,0,296947.944,296947.944,2013
09-03-2013,57881.06,52390,1,208371.816,240044.332,2013
10-03-2013,108890.29,101847,1,392005.044,451589.8107,2013
11-03-2013,85890.345,60972,0,309205.242,309205.242,2013
12-03-2013,63447.59,49845,0,228411.324,228411.324,2013
13-03-2013,67335.84,53298,0,242409.024,242409.024,2013
14-03-2013,65177.485,51700,0,234638.946,234638.946,2013
15-03-2013,69102.285,58585,0,248768.226,248768.226,2013
16-03-2013,85202.115,97894,1,306727.614,353350.2113,2013
17-03-2013,42654.15,31553,1,153554.94,176895.2909,2013
18-03-2013,50119.91,36201,0,180431.676,180431.676,2013
19-03-2013,110488.955,120181,0,397760.238,397760.238,2013
20-03-2013,85763.415,84165,0,308748.294,308748.294,2013
21-03-2013,91322.405,91696,0,328760.658,328760.658,2013
22-03-2013,90091.03,93059,0,324327.708,324327.708,2013
23-03-2013,64649.09,74477,1,232736.724,268112.706,2013
24-03-2013,60355.77,59275,1,217280.772,250307.4493,2013
25-03-2013,89301.595,94098,0,321485.742,321485.742,2013
26-03-2013,84817.115,84117,0,305341.614,305341.614,2013
27-03-2013,82630.71,84465,0,297470.556,297470.556,2013
28-03-2013,84714.75,88677,0,304973.1,304973.1,2013
29-03-2013,79277.615,87371,0,285399.414,285399.414,2013
30-03-2013,62493.1,64400,1,224975.16,259171.3843,2013
31-03-2013,70402.93,72590,1,253450.548,291975.0313,2013
01-04-2013,75654.67,72290,0,272356.812,272356.812,2013
02-04-2013,85819.8,88319,0,308951.28,308951.28,2013
03-04-2013,87147.75,91300,0,313731.9,313731.9,2013
04-04-2013,84402.42,89685,0,303848.712,303848.712,2013
05-04-2013,86339.04,86980,0,310820.544,310820.544,2013
06-04-2013,83656.795,104007,1,301164.462,346941.4602,2013
07-04-2013,75447.865,87275,1,271612.314,312897.3857,2013
08-04-2013,97522.575,92919,0,351081.27,351081.27,2013
09-04-2013,141249.51,140982,0,508498.236,508498.236,2013
10-04-2013,124370.64,111378,0,447734.304,447734.304,2013
11-04-2013,97426.445,77408,0,350735.202,350735.202,2013
12-04-2013,180339.07,222995,0,649220.652,649220.652,2013
13-04-2013,91561.755,100250,1,329622.318,379724.9103,2013
14-04-2013,65035.865,54096,1,234129.114,269716.7393,2013
15-04-2013,129139.26,150100,0,464901.336,464901.336,2013
16-04-2013,95183.42,89497,0,342660.312,342660.312,2013
17-04-2013,88080.015,84242,0,317088.054,317088.054,2013
18-04-2013,118057.145,103497,0,425005.722,425005.722,2013
19-04-2013,162699.82,210619,0,585719.352,585719.352,2013
20-04-2013,85168.515,91162,1,306606.654,353210.8654,2013
21-04-2013,56066.98,58420,1,201841.128,232520.9795,2013
22-04-2013,126036.09,115291,0,453729.924,453729.924,2013
23-04-2013,149599.675,174173,0,538558.83,538558.83,2013
24-04-2013,83836.455,85793,0,301811.238,301811.238,2013
25-04-2013,95144.105,105507,0,342518.778,342518.778,2013
26-04-2013,95959.39,94131,0,345453.804,345453.804,2013
27-04-2013,71219.645,74851,1,256390.722,295362.1117,2013
28-04-2013,62630.71,63595,1,225470.556,259742.0805,2013
29-04-2013,85647.585,87105,0,308331.306,308331.306,2013
30-04-2013,89076.72,90075,0,320676.192,320676.192,2013
01-05-2013,89243.22,85211,0,321275.592,321275.592,2013
02-05-2013,166180.825,179872,0,598250.97,598250.97,2013
03-05-2013,91945.38,92250,0,331003.368,331003.368,2013
04-05-2013,138232.37,176130,1,497636.532,573277.2849,2013
05-05-2013,69054.125,63804,1,248594.85,286381.2672,2013
06-05-2013,90267.885,86682,0,324964.386,324964.386,2013
07-05-2013,89886.79,92101,0,323592.444,323592.444,2013
08-05-2013,90375.935,90104,0,325353.366,325353.366,2013
09-05-2013,119110.32,128416,0,428797.152,428797.152,2013
10-05-2013,121205.825,99776,0,436340.97,436340.97,2013
11-05-2013,56668.57,52496,1,204006.852,235015.8935,2013
12-05-2013,50961.04,46110,1,183459.744,211345.6251,2013
13-05-2013,83631.515,86515,0,301073.454,301073.454,2013
14-05-2013,88916.8,91484,0,320100.48,320100.48,2013
15-05-2013,90105.965,92334,0,324381.474,324381.474,2013
16-05-2013,91367.325,92107,0,328922.37,328922.37,2013
17-05-2013,82932.68,86036,0,298557.648,298557.648,2013
18-05-2013,115558.92,112122,1,416012.112,479245.953,2013
19-05-2013,101946.795,120080,1,367008.462,422793.7482,2013
20-05-2013,152178.74,180976,0,547843.464,547843.464,2013
21-05-2013,133314.885,138453,0,479933.586,479933.586,2013
22-05-2013,145651.21,167875,0,524344.356,524344.356,2013
23-05-2013,143752.845,152199,0,517510.242,517510.242,2013
24-05-2013,85517.66,86506,0,307863.576,307863.576,2013
25-05-2013,66473.99,66775,1,239306.364,275680.9313,2013
